Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.523599,1,0,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.0125,0.523599,0.999715,0.357249,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.025,0.523599,0.99886,0.709414,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.0375,0.523599,0.997436,1.05148,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.05,0.523599,0.995444,1.37859,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.0625,0.523599,0.992884,1.68607,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.075,0.523599,0.989759,1.96956,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.0875,0.523599,0.986069,2.22502,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1,0.523599,0.981818,2.44882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1125,0.523599,0.977006,2.63776,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.125,0.523599,0.971639,2.78917,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1375,0.523599,0.965717,2.90088,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.15,0.523599,0.959245,2.97131,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1625,0.523599,0.952226,2.99946,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.175,0.523599,0.944665,2.98491,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1875,0.523599,0.936565,2.92789,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2,0.523599,0.927931,2.8292,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2125,0.523599,0.918769,2.69025,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.225,0.523599,0.909083,2.51301,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2375,0.523599,0.898879,2.3,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.25,0.523599,0.888163,2.05427,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2625,0.523599,0.87694,1.7793,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.275,0.523599,0.865218,1.479,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2875,0.523599,0.853003,1.15766,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3,0.523599,0.840301,0.819848,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3125,0.523599,0.827121,0.470365,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.325,0.523599,0.813469,0.114187,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3375,0.523599,0.799354,-0.243615,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.35,0.523599,0.784783,-0.59795,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3625,0.523599,0.769765,-0.943775,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.375,0.523599,0.754308,-1.27617,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3875,0.523599,0.738421,-1.5904,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.4,0.523599,0.722114,-1.882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.4125,0.523599,0.705395,-2.14682,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.425,0.523599,0.688273,-2.38108,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
