Time,Value_1,Value_2,Value_3
0,0.523599,1,0
0.025,0.523599,0.99886,0.709414
0.05,0.523599,0.995444,1.37859
0.075,0.523599,0.989759,1.96956
0.1,0.523599,0.981818,2.44882
0.125,0.523599,0.971639,2.78917
0.15,0.523599,0.959245,2.97131
0.175,0.523599,0.944665,2.98491
0.2,0.523599,0.927931,2.8292
0.225,0.523599,0.909083,2.51301
0.25,0.523599,0.888163,2.05427
0.275,0.523599,0.865218,1.479
0.3,0.523599,0.840301,0.819846
0.325,0.523599,0.813469,0.114185
0.35,0.523599,0.784783,-0.597953
0.375,0.523599,0.754308,-1.27617
0.4,0.523599,0.722113,-1.88201
0.425,0.523599,0.688273,-2.38108
0.45,0.523599,0.652864,-2.7451
0.475,0.523599,0.615967,-2.95341
0.5,0.523599,0.577666,-2.99419
0.525,0.523599,0.538048,-2.86513
0.55,0.523599,0.497204,-2.57355
0.575,0.523599,0.455227,-2.13599
0.6,0.523599,0.412212,-1.57728
0.625,0.523599,0.368258,-0.929094
0.65,0.523599,0.323464,-0.228209
0.675,0.523599,0.277933,0.48562
0.7,0.523599,0.231768,1.1719
0.725,0.523599,0.185075,1.79171
0.75,0.523599,0.137961,2.30989
0.775,0.523599,0.0905316,2.69705
0.8,0.523599,0.0428961,2.93122
0.825,0.523599,-0.00483711,2.99912
0.85,0.523599,-0.0525593,2.89691
0.875,0.523599,-0.100162,2.63037
0.9,0.523599,-0.147536,2.21463
0.925,0.523599,-0.194574,1.67327
0.95,0.523599,-0.241168,1.037
0.975,0.523599,-0.287213,0.341908
1,0.523599,-0.332603,-0.372579
1.025,0.523599,-0.377235,-1.06593
1.05,0.523599,-0.421007,-1.69883
1.075,0.523599,-0.463819,-2.23535
1.1,0.523599,-0.505575,-2.64509
1.125,0.523599,-0.546178,-2.90478
1.15,0.523599,-0.585536,-2.99971
1.175,0.523599,-0.623559,-2.92449
1.2,0.523599,-0.660162,-2.68338
1.225,0.523599,-0.695259,-2.29006
1.25,0.523599,-0.728772,-1.76684
1.275,0.523599,-0.760624,-1.1434
1.3,0.523599,-0.790742,-0.45511
1.325,0.523599,-0.819057,0.259
1.35,0.523599,-0.845506,0.958419
1.375,0.523599,-0.870028,1.60347
1.4,0.523599,-0.892567,2.15757
1.425,0.523599,-0.913071,2.58929
1.45,0.523599,-0.931494,2.87414
1.475,0.523599,-0.947794,2.99595
1.5,0.523599,-0.961933,2.94783
1.525,0.523599,-0.973881,2.73249
1.55,0.523599,-0.983608,2.36217
1.575,0.523599,-0.991093,1.85785
1.6,0.523599,-0.99632,1.24815
1.625,0.523599,-0.999275,0.567653
1.65,0.523599,-0.999953,-0.145044
1.675,0.523599,-0.998352,-0.849513
1.7,0.523599,-0.994475,-1.5058
1.725,0.523599,-0.988332,-2.07667
1.75,0.523599,-0.979935,-2.52974
1.775,0.523599,-0.969306,-2.83932
1.8,0.523599,-0.956467,-2.98785
1.825,0.523599,-0.941447,-2.9669
1.85,0.523599,-0.924282,-2.77765
1.875,0.523599,-0.905011,-2.43085
1.9,0.523599,-0.883676,-1.94617
1.925,0.523599,-0.860328,-1.35109
1.95,0.523599,-0.835018,-0.679374
1.975,0.523599,-0.807805,0.0308771
2,0.523599,-0.778751,0.739377
