time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
0,0,0,0
0.1,30,57.29578,0
0.2,30,56.254002,140.307014
0.3,30,53.166554,162.101229
0.4,30,48.145711,46.973777
0.5,30,41.374053,-107.830905
0.6,30,33.097833,-171.554309
0.7,30,23.618014,-90.371334
0.8,30,13.279329,67.145385
0.9,30,2.457742,167.946568
1,30,-8.453221,126.888715
1.1,30,-19.056783,-21.347933
1.2,30,-28.967347,-151.552672
1.3,30,-37.824517,-153.745769
1.4,30,-45.306202,-26.074785
1.5,30,-51.140333,123.620726
1.6,30,-55.11475,168.897807
1.7,30,-57.084926,71.512371
1.8,30,-56.979216,-86.277253
1.9,30,-54.801462,-171.191271
2,30,-50.630859,-111.505557
2.1,30,-44.61907,42.365296
2.2,30,-36.984714,160.451553
2.3,30,-28.005413,143.009571
2.4,30,-18.007698,4.772028
2.5,30,-7.355136,-137.496293
2.6,30,3.564896,-163.62594
2.7,30,14.35529,-51.546046
2.8,30,24.623656,104.073126
2.9,30,33.996586,171.785094
3,30,42.133233,94.395747
3.1,30,48.73771,-62.726636
3.2,30,53.569845,-166.865857
3.3,30,56.453919,-130.058884
3.4,30,57.285053,16.604624
3.5,30,56.033022,149.242743
3.6,30,52.743356,155.820342
3.7,30,47.535684,30.781536
3.8,30,40.599382,-120.257438
3.9,30,32.186688,-169.718842
4,30,22.603529,-75.824228
4.1,30,12.198395,82.11666
4.2,30,1.349667,170.69626
4.3,30,-9.548141,115.094248
4.4,30,-20.098731,-37.724154
4.5,30,-29.918434,-158.678183
4.6,30,-38.650156,-145.601881
4.7,30,-45.97637,-9.540377
4.8,30,-51.630658,134.579575
4.9,30,-55.407402,165.024511
5,30,-57.169263,56.078578
5.1,30,-56.85217,-100.235117
5.2,30,-54.467654,-171.883449
5.3,30,-50.102427,-98.347389
5.4,30,-43.915232,58.259531
5.5,30,-36.131064,165.656509
5.6,30,-27.032994,133.12879
5.7,30,-16.951872,-11.848514
5.8,30,-6.254297,-146.817761
5.9,30,4.670715,-157.774792
6,30,15.425877,-35.464558
6.1,30,25.620078,116.801442
6.2,30,34.882608,170.40904
6.3,30,42.876636,80.077631
6.4,30,49.31146,-77.892764
6.5,30,53.953078,-170.069659
6.6,30,56.632698,-118.594212
6.7,30,57.252877,33.053931
6.8,30,55.791061,156.782488
6.9,30,52.300409,148.081946
7,30,46.907859,14.301372
7.1,30,39.809509,-131.559109
7.2,30,31.263491,-166.295864
7.3,30,21.58058,-60.567879
7.4,30,11.112893,96.319835
7.5,30,0.241088,171.849298
7.6,30,-10.639485,102.223215
7.7,30,-21.133155,-53.747512
7.8,30,-30.858319,-164.319454
7.9,30,-39.461324,-136.096066
8,30,-46.629322,7.083269
8.1,30,-52.101651,144.279596
8.2,30,-55.679308,159.607612
8.3,30,-57.232194,40.120239
8.4,30,-56.703837,-113.255403
8.5,30,-54.113451,-170.967868
8.6,30,-49.555236,-84.269302
8.7,30,-43.19495,73.608819
8.8,30,-35.263885,169.31195
8.9,30,-26.050452,122.002751
9,30,-15.889697,-28.358227
9.1,30,-5.151116,-154.765928
9.2,30,5.774786,-150.447853
9.3,30,16.490688,-19.051341
9.4,30,26.606907,128.437223
9.5,30,35.75557,167.439017
9.6,30,43.603985,65.010487
9.7,30,49.866747,-92.3303
9.8,30,54.316109,-171.682667
9.9,30,56.790272,-106.020237
10,30,57.199264,49.19406
10.1,30,55.52821,162.855725
10.2,30,51.837879,138.958424
10.3,30,46.262469,-2.312565
10.4,30,39.00473,-141.630205
10.5,30,30.328588,-161.31739
10.6,30,20.549551,-44.744991
10.7,30,10.023231,109.622055
10.8,30,-0.867582,171.394896
10.9,30,-11.726846,88.396009
11,30,-22.159665,-69.268128
11.1,30,-31.78665,-168.423717
11.2,30,-40.257716,-125.317238
11.3,30,-47.264816,23.640661
11.4,30,-52.553135,152.630058
11.5,30,-55.930366,152.697779
11.6,30,-57.273695,23.786624
11.7,30,-56.534272,-125.216324
11.8,30,-53.738987,-168.453091
11.9,30,-48.98949,-69.402979
12,30,-42.458495,88.269586
12.1,30,-34.383502,171.383685
12.2,30,-25.058156,109.735526
12.3,30,-14.821574,-44.602684
12.4,30,-4.046006,-161.266449
12.5,30,6.876694,-141.713659
12.6,30,17.549324,-2.459923
12.7,30,27.583774,138.87163
12.8,30,36.615144,162.902807
12.9,30,44.315008,49.33525
13,30,50.403362,-105.904198
13.1,30,54.658803,-171.689794
13.2,30,56.926582,-92.454571
13.3,30,57.124233,64.874038
13.4,30,55.244568,167.405645
13.5,30,51.355939,128.535116
13.6,30,45.599758,-18.90487
13.7,30,38.185347,-150.376524
13.8,30,29.38233,-154.82999
13.9,30,19.510827,-28.503569
14,30,8.929816,121.898895
14.1,30,-1.975928,169.337303
14.2,30,-12.809816,73.741967
14.3,30,-23.177878,-84.140825
14.4,30,-32.703078,-170.952582
14.5,30,-41.039035,-113.36622
14.6,30,-47.882611,39.976923
14.7,30,-52.984942,159.552852
14.8,30,-56.160481,144.359645
14.9,30,-57.293751,7.230514
15,30,-56.343539,-136.005999
15.1,30,-53.344401,-164.362641
15.2,30,-48.4054,-53.887475
15.3,30,-41.706142,102.104699
15.4,30,-33.490244,171.852335
15.5,30,-24.056478,96.44186
15.6,30,-13.7479,-60.429937
15.7,30,-2.939382,-166.258519
15.8,30,7.976027,-131.653906
15.9,30,18.601389,14.154505
16,30,28.550313,148.007064
16.1,30,37.461008,156.84284
16.2,30,45.009437,33.198541
16.3,30,50.921104,-118.487493
16.4,30,54.98103,-170.090972
16.5,30,57.041577,-78.024107
16.6,30,57.027814,79.947199
16.7,30,54.94024,170.389691
16.8,30,50.85477,116.909519
16.9,30,44.919973,-35.320343
17,30,37.351666,-157.716254
17.1,30,28.425069,-146.894344
17.2,30,18.464798,-11.995531
17.3,30,7.833057,133.035519
17.4,30,-3.083533,165.695767
17.5,30,-13.88799,58.398158
17.6,30,-24.187412,-98.226487
17.7,30,-33.607262,-171.882395
17.8,30,-41.804987,-100.3548
17.9,30,-48.482478,55.939249
18,30,-53.39691,164.983224
18.1,30,-56.369568,134.671203
18.2,30,-57.292354,-9.393229
18.3,30,-56.13171,-145.523504
18.4,30,-52.929842,-158.73478
18.5,30,-47.803186,-37.86792
18.6,30,-40.938173,114.984748
18.7,30,-32.584447,170.713517
18.8,30,-23.045792,82.246097
18.9,30,-12.669079,-75.691942
19,30,-1.831657,-169.695445
19.1,30,9.072374,-120.362692
19.2,30,19.646489,30.636535
19.3,30,29.506161,155.758071
19.4,30,38.292845,149.315801
19.5,30,45.687014,16.751301
19.6,30,51.41978,-129.962482
19.7,30,55.282671,-166.901157
19.8,30,57.135214,-62.863822
19.9,30,56.910041,94.272552
20,30,54.615341,171.779949
20.1,30,50.33456,104.190377
20.2,30,44.223368,-51.405438
20.3,30,36.503999,-163.580741
20.4,30,27.457165,-137.584681
20.5,30,17.411855,4.624711
20.6,30,6.733365,142.927759
20.7,30,-4.189984,160.50435
20.8,30,-14.960964,42.508106
20.9,30,-25.18789,-111.393361
21,30,-34.498862,-171.204457
21.1,30,-42.555286,-86.404684
21.2,30,-49.064192,71.378333
21.3,30,-53.788884,168.870379
21.4,30,-56.557549,123.723076
21.5,30,-57.269505,-25.929109
21.6,30,-55.898862,-153.679814
21.7,30,-52.495463,-151.622149
21.8,30,-47.183073,-21.494156
21.9,30,-40.154875,126.789255
22,30,-31.666449,167.977882
22.1,30,-22.026477,67.281023
22.2,30,-11.585514,-90.245941
22.3,30,-0.723246,-171.545076
22.4,30,10.165324,-107.945632
22.5,30,20.684232,46.831998
22.6,30,30.450961,162.052153
22.7,30,39.110344,140.392094
22.8,30,46.347484,0.147372
22.9,30,51.899202,-140.22183
23,30,55.563612,-162.150186
23.1,30,57.207457,-47.115522
23.2,30,56.770959,107.7161
23.3,30,54.269992,171.563415
23.4,30,49.795502,90.49666
23.5,30,43.510205,-67.009697
23.6,30,35.642664,-167.91513
23.7,30,26.478981,-126.988081
23.8,30,16.352393,21.201694
23.9,30,5.631152,151.483084
24,30,-5.294866,153.811611
24.1,30,-16.028336,26.220442
24.2,30,-26.178937,-123.518286
24.3,30,-35.377544,-168.925111
24.4,30,-43.289651,-71.646357
24.5,30,-49.627534,86.149759
24.6,30,-54.160718,171.177959
24.7,30,-56.724353,111.617671
24.8,30,-57.225213,-42.222454
24.9,30,-55.645085,-160.398638
25,30,-52.041429,-143.091278
25.1,30,-46.545293,-4.919342
25.2,30,-39.356542,137.407803
25.3,30,-30.736595,163.671019
25.4,30,-20.998915,51.686617
25.5,30,-10.497612,-103.9558
25.6,30,0.385436,-171.790113
25.7,30,11.254468,-94.518872
25.8,30,21.714231,62.589404
25.9,30,31.38436,166.830435
26,30,39.913199,130.155191
26.1,30,46.9906,-16.457935
26.2,30,52.359192,-149.169575
26.3,30,55.823748,-155.882498
26.4,30,57.25828,-30.926515
26.5,30,56.610621,120.152095
26.6,30,53.904323,169.742115
26.7,30,49.2378,75.956458
26.8,30,42.78075,-81.987163
26.9,30,34.767983,-170.678879
27,30,25.490882,-115.203664
27.1,30,15.286807,37.580362
27.2,30,4.52683,158.62147
27.3,30,-6.397765,145.680151
27.4,30,-17.089706,9.687519
27.5,30,-27.160181,-134.487848
27.6,30,-36.24298,-165.065677
27.7,30,-44.007807,-56.217866
27.8,30,-50.172295,100.115359
27.9,30,-54.512272,171.884377
28,30,-56.869917,98.468219
28.1,30,-57.159494,-58.12086
28.2,30,-55.370472,-165.617128
28.3,30,-51.567909,-133.221962
28.4,30,-45.890085,11.701488
28.5,30,-38.543473,146.741069
28.6,30,-29.795231,157.833214
28.7,30,-19.96349,35.608746
28.8,30,-9.405778,-116.693279
28.9,30,1.493974,-170.428264
29,30,12.339397,-80.208004
29.1,30,22.7361,77.761363
29.2,30,32.306007,170.048221
29.3,30,40.70111,118.700845
29.4,30,47.616121,-32.909298
29.5,30,52.799577,-156.72202
29.6,30,56.062983,-148.156719
29.7,30,57.287664,-14.448228
29.8,30,56.429086,131.464215
29.9,30,53.51847,166.333085
30,30,48.661661,60.705776
30.1,30,42.035277,-96.197739
30.2,30,33.880284,-171.846135
30.3,30,24.493238,-102.341656
30.4,30,14.215498,53.607511
30.5,30,3.420813,164.276146
30.6,30,-7.498269,136.186032
30.7,30,-18.144677,-6.93602
30.8,30,-28.131256,-144.199441
30.9,30,-37.094846,-159.662256
31,30,-44.709485,-40.263526
31.1,30,-50.698269,113.144503
31.2,30,-54.843416,170.983028
31.3,30,-56.994188,84.397717
31.4,30,-57.072373,-73.475616
31.5,30,-55.075127,-169.286472
31.6,30,-51.07508,-122.106518
31.7,30,-45.217694,28.212864
31.8,30,-37.715971,154.701752
31.9,30,-28.842712,150.519072
32,30,-18.92059,19.197798
32.1,30,-8.310423,-128.339235
32.2,30,2.601952,-167.472266
32.3,30,13.419707,-65.146888
32.4,30,23.749455,92.20596
32.5,30,33.215558,171.675415
32.6,30,41.47378,106.136197
32.7,30,48.223813,-49.052834
32.8,30,53.220192,-162.808523
32.9,30,56.281225,-139.045116
33,30,57.295598,2.165205
33.1,30,56.226422,141.546647
33.2,30,53.112579,161.368213
33.3,30,48.067302,44.887266
33.4,30,41.274064,-109.508503
33.5,30,32.979899,-171.40598
