time,phi_deg,theta_deg,psi_deg
0,0,0,0
0.0125,0.376086,0.715564,0.130433
0.025,0.75864,1.427328,0.519989
0.0375,1.153885,2.131469,1.163459
0.05,1.567567,2.824145,2.05222
0.0625,2.004729,3.501504,3.174332
0.075,2.469513,4.159736,4.514663
0.0875,2.964996,4.795159,6.055063
0.1,3.49306,5.404342,7.774574
0.1125,4.054313,5.984258,9.64969
0.125,4.648063,6.532464,11.654648
0.1375,5.272355,7.047289,13.761784
0.15,5.924053,7.528012,15.941915
0.1625,6.598989,7.975026,18.164772
0.175,7.29214,8.389953,20.399457
0.1875,7.997842,8.775715,22.61493
0.2,8.710009,9.136535,24.780497
0.2125,9.422344,9.477878,26.866301
0.225,10.128528,9.806321,28.843789
0.2375,10.822367,10.129365,30.686145
0.25,11.497889,10.455193,32.368689
0.2625,12.149397,10.792397,33.869208
0.275,12.771468,11.149674,35.168246
0.2875,13.358914,11.535505,36.24932
0.3,13.90672,11.957848,37.099077
0.3125,14.409976,12.42383,37.707401
0.325,14.863808,12.939463,38.067449
0.3375,15.263347,13.509389,38.175646
0.35,15.603729,14.136664,38.031636
0.3625,15.880149,14.822588,37.638194
0.375,16.087975,15.566583,37.001118
0.3875,16.222917,16.366139,36.129102
0.4,16.281262,17.21683,35.033614
0.4125,16.260144,18.112403,33.728774
0.425,16.157859,19.044951,32.23125
0.4375,15.974196,20.005163,30.56017
0.45,15.710756,20.982655,28.737047
0.4625,15.37125,21.966354,26.785701
0.475,14.961731,22.944944,24.732174
0.4875,14.49075,23.90732,22.604597
0.5,13.969398,24.843039,20.433008
0.5125,13.411222,25.742732,18.249077
0.525,12.832007,26.598438,16.085735
0.5375,12.249426,27.40383,13.976702
0.55,11.68257,28.154322,11.955911
0.5625,11.151388,28.847019,10.056862
0.575,10.676073,29.48054,8.311919
0.5875,10.276435,30.054707,6.751609
0.6,9.971287,30.570134,5.40392
0.6125,9.777874,31.027761,4.293672
0.625,9.711366,31.428362,3.441931
0.6375,9.78441,31.772088,2.865514
0.65,10.006734,32.058087,2.576562
0.6625,10.384808,32.284229,2.582179
0.675,10.921542,32.446991,2.88415
0.6875,11.616046,32.541503,3.478732
0.7,12.463452,32.56177,4.356546
0.7125,13.45485,32.501076,5.502587
0.725,14.577362,32.352527,6.896413
0.7375,15.814418,32.109717,8.512516
0.75,17.146238,31.767439,10.32093
0.7625,18.550546,31.322396,12.288056
0.775,20.003477,30.773833,14.377676
0.7875,21.480616,30.124022,16.552091
0.8,22.958081,29.378557,18.773295
0.8125,24.413541,28.546436,21.004084
0.825,25.827084,27.63991,23.209007
0.8375,27.181852,26.674142,25.355107
0.85,28.464419,25.666698,27.412407
0.8625,29.664897,24.636928,29.35417
0.875,30.776811,23.6053,31.156955
0.8875,31.796772,22.592705,32.800524
0.9,32.72403,21.61981,34.267664
0.9125,33.55993,20.706458,35.543974
0.925,34.307339,19.871143,36.617659
0.9375,34.970085,19.130572,37.479347
0.95,35.552424,18.499302,38.121956
0.9625,36.058575,17.989463,38.540602
0.975,36.492332,17.61054,38.732535
0.9875,36.856766,17.369223,38.697104
1,37.154035,17.269305,38.435717
1.0125,37.385294,17.31163,37.951815
1.025,37.550714,17.494085,37.250817
1.0375,37.649606,17.811636,36.340067
1.05,37.680637,18.256414,35.228769
1.0625,37.642132,18.817851,33.927924
1.075,37.532438,19.482881,32.450288
1.0875,37.350348,20.236198,30.810344
1.1,37.095538,21.060588,29.024312
1.1125,36.769019,21.937325,27.110192
1.125,36.373566,22.846622,25.087824
1.1375,35.914087,23.768139,22.978959
1.15,35.397912,24.681511,20.8073
1.1625,34.834962,25.56689,18.598489
1.175,34.237769,26.40545,16.379988
1.1875,33.621307,27.179849,14.180833
1.2,33.002642,27.874588,12.031216
1.2125,32.400384,28.476257,9.961902
1.225,31.833968,28.973644,8.003485
1.2375,31.322813,29.357707,6.185518
1.25,30.885408,29.621408,4.535576
1.2625,30.538404,29.759453,3.07831
1.275,30.295779,29.767966,1.834572
1.2875,30.168131,29.644147,0.820669
1.3,30.16216,29.385971,0.047792
1.3125,30.280362,28.991962,-0.478327
1.325,30.520949,28.46109,-0.75754
1.3375,30.878003,27.792777,-0.795163
