time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
0,0,0,0
0.025,0.52963,0.996465,0.363021
0.05,0.564737,0.975165,1.0697
0.075,0.629676,0.932419,1.719111
0.1,0.71457,0.868899,2.27585
0.125,0.806344,0.787578,2.708805
0.15,0.890809,0.695023,2.99308
0.175,0.955105,0.601747,3.111955
0.2,0.98986,0.521211,3.058546
0.225,0.990315,0.467598,2.836716
0.25,0.955996,0.452997,2.460847
0.275,0.889128,0.484838,1.954462
0.3,0.792557,0.564212,1.347976
0.325,0.668175,0.685296,0.676051
0.35,0.516564,0.835805,-0.025002
0.375,0.338068,0.998272,-0.719438
0.4,0.13494,1.15209,-1.373578
0.425,-0.086152,1.27627,-1.956422
0.45,-0.312137,1.352773,-2.439416
0.475,-0.522919,1.369937,-2.795931
0.5,-0.692781,1.325121,-3.001387
0.525,-0.794051,1.2255,-3.034972
0.55,-0.802461,1.086213,-2.883165
0.575,-0.70267,0.925876,-2.54399
0.6,-0.492036,0.760681,-2.030169
0.625,-0.18146,0.599156,-1.369728
0.65,0.206205,0.439631,-0.604142
0.675,0.638657,0.271507,0.214737
0.7,1.076457,0.080132,1.027927
0.725,1.475789,-0.146078,1.773164
0.75,1.793417,-0.408468,2.390768
0.775,1.994733,-0.693667,2.832149
0.8,2.062707,-0.974087,3.068727
0.825,2.002944,-1.213805,3.096716
0.85,1.841208,-1.377564,2.934529
0.875,1.614354,-1.439129,2.61419
0.9,1.359417,-1.386135,2.171685
0.925,1.10536,-1.220802,1.640607
0.95,0.869235,-0.957728,1.050198
0.975,0.656181,-0.620474,0.426265
1,0.461956,-0.238228,-0.207219
1.025,0.276933,0.156926,-0.827218
1.05,0.090702,0.532207,-1.411659
1.075,-0.103465,0.856237,-1.939748
1.1,-0.305017,1.101449,-2.391785
1.125,-0.504033,1.246889,-2.748189
1.15,-0.681137,1.280997,-2.988372
1.175,-0.809934,1.203538,-3.090849
1.2,-0.862283,1.025654,-3.036019
1.225,-0.815891,0.767287,-2.811891
1.25,-0.662223,0.452225,-2.421062
1.275,-0.41164,0.102318,-1.88566
1.3,-0.093284,-0.266683,-1.247409
1.325,0.250484,-0.645688,-0.562228
1.35,0.57309,-1.029075,0.108845
1.375,0.833474,-1.409549,0.709652
1.4,1.004121,-1.773885,1.197243
1.425,1.075553,-2.101753,1.54647
1.45,1.056277,-2.368153,1.749757
1.475,0.968665,-2.548227,1.812683
1.5,0.842651,-2.622328,1.747694
1.525,0.70942,-2.579613,1.568746
1.55,0.596375,-2.419335,1.288722
1.575,0.5235,-2.150032,0.919949
1.6,0.500824,-1.787324,0.476841
1.625,0.526955,-1.351355,-0.021008
1.65,0.5893,-0.864819,-0.547106
1.675,0.666662,-0.35212,-1.069053
1.7,0.734301,0.160478,-1.552421
1.725,0.770368,0.644574,-1.966244
1.75,0.761639,1.0703,-2.287862
1.775,0.706577,1.408479,-2.505034
1.8,0.614943,1.63392,-2.614724
1.825,0.50464,1.728826,-2.619716
1.85,0.397231,1.685228,-2.525182
1.875,0.313298,1.505795,-2.337019
1.9,0.268209,1.202969,-2.062601
1.925,0.268693,0.796857,-1.713245
1.95,0.310898,0.312646,-1.306722
1.975,0.380905,-0.22163,-0.867897
2,0.458146,-0.776425,-0.426431
2.025,0.52101,-1.321214,-0.012081
2.05,0.552705,-1.824883,0.350416
2.075,0.545298,-2.256708,0.644611
2.1,0.500858,-2.588278,0.862559
2.125,0.430108,-2.796026,1.002395
2.15,0.349767,-2.863693,1.064819
2.175,0.279619,-2.784086,1.050253
2.2,0.239498,-2.559699,0.957966
2.225,0.245782,-2.202115,0.787794
2.25,0.307107,-1.730398,0.544162
2.275,0.420117,-1.169008,0.24084
2.3,0.567501,-0.545976,-0.096365
2.325,0.720832,0.108069,-0.431842
2.35,0.848691,0.760128,-0.727872
2.375,0.926897,1.375167,-0.954559
2.4,0.945651,1.91756,-1.096705
2.425,0.910339,2.353822,-1.154282
2.45,0.836911,2.655913,-1.137499
2.475,0.745437,2.804064,-1.060203
2.5,0.654905,2.788491,-0.934998
2.525,0.580221,2.609894,-0.771362
2.55,0.530814,2.278989,-0.57634
2.575,0.509981,1.81536,-0.356651
2.6,0.51467,1.245938,-0.120902
2.625,0.536085,0.60333,0.119321
2.65,0.561648,-0.075859,0.35025
2.675,0.578245,-0.752743,0.558507
2.7,0.575708,-1.388041,0.734219
2.725,0.549123,-1.944233,0.873055
2.75,0.499143,-2.387891,0.976199
2.775,0.430688,-2.691934,1.048533
2.8,0.351081,-2.837488,1.096062
2.825,0.268582,-2.815151,1.123648
2.85,0.191613,-2.625575,1.133657
2.875,0.128348,-2.279386,1.125749
2.9,0.086067,-1.796463,1.097876
2.925,0.069843,-1.204655,1.048363
2.95,0.080835,-0.538002,0.978436
2.975,0.115222,0.165364,0.893965
3,0.164987,0.865459,0.805135
3.025,0.22065,1.522651,0.723949
3.05,0.274597,2.099742,0.660944
3.075,0.323178,2.56391,0.622929
3.1,0.366803,2.888488,0.612543
3.125,0.408517,3.054463,0.629059
3.15,0.452024,3.051593,0.669402
3.175,0.499848,2.879044,0.728667
3.2,0.551963,2.545516,0.800078
3.225,0.605075,2.06887,0.874793
3.25,0.652868,1.475288,0.942248
3.275,0.687496,0.797947,0.991588
3.3,0.702124,0.075205,1.01414
3.325,0.693542,-0.651683,1.005989
3.35,0.663477,-1.341173,0.969271
3.375,0.61783,-1.95408,0.91141
3.4,0.564311,-2.455965,0.842761
3.425,0.509789,-2.819079,0.773993
3.45,0.458514,-3.023798,0.714332
3.475,0.411569,-3.059562,0.670929
3.5,0.367375,-2.925335,0.648924
3.525,0.322906,-2.629574,0.65156
3.55,0.275359,-2.189692,0.679853
3.575,0.224009,-1.63104,0.73179
3.6,0.171642,-0.985473,0.801593
3.625,0.124726,-0.289621,0.879974
3.65,0.091743,0.417056,0.955995
3.675,0.080256,1.09436,1.020019
3.7,0.094246,1.703567,1.06617
3.725,0.133141,2.209676,1.0929
3.75,0.192605,2.583539,1.101572
3.775,0.266074,2.803681,1.09412
3.8,0.346006,2.857667,1.071001
3.825,0.424492,2.742917,1.030092
3.85,0.493584,2.466918,0.966705
3.875,0.545915,2.046778,0.874711
3.9,0.576025,1.508111,0.748611
3.925,0.582206,0.883299,0.58608
3.95,0.56805,0.209302,0.39002
3.975,0.542567,-0.47468,0.169018
4,0.518311,-1.129428,-0.064285
4.025,0.508071,-1.71766,-0.296186
4.05,0.521514,-2.205789,-0.514712
4.075,0.562948,-2.565606,-0.71084
4.1,0.630493,-2.775947,-0.877767
4.125,0.716184,-2.824241,-1.008881
4.15,0.806533,-2.70772,-1.095566
4.175,0.883687,-2.434035,-1.12612
4.2,0.927942,-2.020977,-1.08699
4.225,0.922376,-1.495051,-0.96695
4.25,0.859064,-0.888907,-0.763391
4.275,0.744268,-0.238126,-0.487817
4.3,0.598971,0.421689,-0.166701
4.325,0.453055,1.056679,0.164054
4.35,0.335539,1.635335,0.468593
4.375,0.265866,2.128762,0.719414
4.4,0.250002,2.511525,0.900694
4.425,0.281564,2.763321,1.006444
4.45,0.345692,2.871023,1.036031
4.475,0.423321,2.830375,0.989966
4.5,0.494748,2.646783,0.867753
4.525,0.542671,2.334916,0.668311
4.55,0.555139,1.917164,0.392528
4.575,0.528347,1.421281,0.046769
4.6,0.468383,0.877829,-0.354351
4.625,0.390651,0.318116,-0.787617
4.65,0.31634,-0.226966,-1.223978
4.675,0.266729,-0.727407,-1.633529
4.7,0.257347,-1.154547,-1.990501
4.725,0.294038,-1.482256,-2.276103
