Time,Value_1,Value_2,Value_3
0,0,0,0
0.0125,0.00656394,0.012489,0.00227648
0.025,0.0132408,0.0249116,0.00907552
0.0375,0.0201391,0.0372012,0.0203062
0.05,0.0273592,0.0492906,0.035818
0.0625,0.0349891,0.0611128,0.0554025
0.075,0.0431011,0.0726011,0.0787957
0.0875,0.0517489,0.0836913,0.105681
0.1,0.0609654,0.0943236,0.135692
0.1125,0.0707611,0.104445,0.168419
0.125,0.081124,0.114013,0.203412
0.1375,0.09202,0.122998,0.240188
0.15,0.103394,0.131389,0.278239
0.1625,0.115174,0.13919,0.317035
0.175,0.127272,0.146432,0.356038
0.1875,0.139589,0.153165,0.394705
0.2,0.152018,0.159463,0.432501
0.2125,0.164451,0.16542,0.468905
0.225,0.176776,0.171153,0.503419
0.2375,0.188886,0.176791,0.535574
0.25,0.200676,0.182478,0.56494
0.2625,0.212047,0.188363,0.591129
0.275,0.222904,0.194599,0.613802
0.2875,0.233157,0.201333,0.63267
0.3,0.242718,0.208704,0.647501
0.3125,0.251502,0.216837,0.658118
0.325,0.259422,0.225836,0.664402
0.3375,0.266396,0.235783,0.666291
0.35,0.272336,0.246731,0.663777
0.3625,0.277161,0.258703,0.65691
0.375,0.280788,0.271688,0.645791
0.3875,0.283143,0.285643,0.630572
0.4,0.284162,0.30049,0.611452
0.4125,0.283793,0.316121,0.588678
0.425,0.282008,0.332397,0.562542
0.4375,0.278802,0.349156,0.533376
0.45,0.274205,0.366216,0.501556
0.4625,0.268279,0.383385,0.467499
0.475,0.261132,0.400465,0.431658
0.4875,0.252912,0.417261,0.394525
0.5,0.243812,0.433593,0.356624
0.5125,0.23407,0.449295,0.318507
0.525,0.223961,0.46423,0.280749
0.5375,0.213793,0.478287,0.24394
0.55,0.203899,0.491386,0.20867
0.5625,0.194629,0.503475,0.175526
0.575,0.186333,0.514533,0.14507
0.5875,0.179358,0.524554,0.117838
0.6,0.174032,0.53355,0.0943162
0.6125,0.170656,0.541537,0.0749386
0.625,0.169495,0.548529,0.0600728
0.6375,0.17077,0.554528,0.0500123
0.65,0.17465,0.559519,0.044969
0.6625,0.181249,0.563466,0.0450669
0.675,0.190617,0.566307,0.0503371
0.6875,0.202738,0.567957,0.0607144
0.7,0.217528,0.56831,0.076035
0.7125,0.234831,0.567251,0.0960371
0.725,0.254422,0.564659,0.120364
0.7375,0.276013,0.560421,0.14857
0.75,0.299258,0.554447,0.180133
0.7625,0.323767,0.54668,0.214465
0.775,0.349126,0.537105,0.250936
0.7875,0.374907,0.525764,0.288887
0.8,0.400693,0.512753,0.327654
0.8125,0.426096,0.49823,0.366589
0.825,0.450767,0.482408,0.405072
0.837499,0.474412,0.465553,0.442529
0.849999,0.496797,0.447969,0.478435
0.862499,0.51775,0.429996,0.512326
0.874999,0.537156,0.411991,0.54379
0.887499,0.554958,0.394318,0.572476
0.899999,0.571142,0.377338,0.598083
0.912499,0.585731,0.361397,0.620359
0.924999,0.598776,0.346818,0.639098
0.937499,0.610343,0.333892,0.654137
0.949999,0.620507,0.322874,0.665353
0.962499,0.629341,0.313976,0.67266
0.974999,0.636911,0.307362,0.67601
0.987499,0.643272,0.30315,0.675392
0.999999,0.648461,0.301406,0.67083
1.0125,0.652497,0.302145,0.662385
1.025,0.655384,0.305329,0.65015
1.0375,0.65711,0.310871,0.634255
1.05,0.657652,0.318634,0.614859
1.0625,0.65698,0.328433,0.592155
1.075,0.655065,0.34004,0.566366
1.0875,0.651887,0.353188,0.537744
1.1,0.64744,0.367576,0.506571
1.1125,0.641741,0.382878,0.473164
1.125,0.634839,0.398748,0.437867
1.1375,0.62682,0.414832,0.40106
1.15,0.617811,0.430773,0.363158
1.1625,0.607986,0.446226,0.324607
1.175,0.597563,0.460862,0.285887
1.1875,0.586803,0.474377,0.247504
1.2,0.576006,0.486503,0.209986
1.2125,0.565494,0.497004,0.17387
1.225,0.555609,0.505685,0.139689
1.2375,0.546687,0.512388,0.10796
1.25,0.539053,0.516991,0.0791629
1.2625,0.532997,0.5194,0.0537288
1.275,0.528762,0.519549,0.0320216
1.2875,0.526534,0.517388,0.0143258
1.3,0.52643,0.512881,0.000836676
1.3125,0.528493,0.506005,6.27484
1.325,0.532693,0.496739,6.26997
1.3375,0.538924,0.485075,6.26931
1.35,0.54702,0.471012,6.27269
1.3625,0.556754,0.454566,6.27984
1.375,0.567857,0.435773,0.00724333
1.3875,0.58003,0.414695,0.0208922
1.4,0.59296,0.391426,0.0371746
1.4125,0.606332,0.366097,0.0556424
1.425,0.619848,0.338882,0.0758364
1.4375,0.633235,0.309991,0.0972985
1.45,0.646255,0.279678,0.11958
1.4625,0.658716,0.248231,0.14225
1.475,0.670472,0.215972,0.164897
1.4875,0.681428,0.183245,0.187133
1.5,0.691538,0.150414,0.208589
1.5125,0.700805,0.117849,0.228923
1.525,0.709273,0.0859234,0.247808
1.5375,0.717027,0.0550032,0.264938
1.55,0.724182,0.0254404,0.280025
1.5625,0.730878,6.28075,0.292803
1.575,0.73727,6.25488,0.303023
1.5875,0.743521,6.23127,0.310467
1.6,0.749791,6.21019,0.314944
1.6125,0.756229,6.19185,0.316298
1.625,0.762965,6.17641,0.314418
1.6375,0.770098,6.16402,0.309236
1.65,0.777697,6.15479,0.300739
1.6625,0.78579,6.14877,0.288966
1.675,0.794364,6.14599,0.274012
1.6875,0.80337,6.14642,0.256025
1.7,0.812721,6.15,0.235201
1.7125,0.822304,6.15662,0.211782
1.725,0.831981,6.16612,0.186044
1.7375,0.841603,6.17829,0.158292
1.75,0.851021,6.19287,0.128847
1.7625,0.860091,6.20959,0.0980445
1.775,0.868685,6.22809,0.0662211
1.7875,0.8767,6.248,0.0337135
1.8,0.884059,6.26894,0.000852887
1.8125,0.89072,0.00727909,6.25115
1.825,0.896674,0.0289711,6.21855
1.8375,0.90195,0.0503894,6.18654
1.85,0.906605,0.0711013,6.15542
1.8625,0.910729,0.0906868,6.12548
1.875,0.914437,0.108745,6.09699
1.8875,0.91786,0.124903,6.07023
1.9,0.921142,0.138819,6.04543
1.9125,0.924429,0.150186,6.02282
1.925,0.927859,0.158739,6.0026
1.9375,0.93156,0.164254,5.98493
1.95,0.935632,0.166553,5.96993
1.9625,0.94015,0.165501,5.95769
1.975,0.945155,0.161011,5.94823
1.9875,0.950651,0.153041,5.94155
2,0.956609,0.141599,5.93757
2.0125,0.962966,0.126739,5.9362
2.025,0.969634,0.108567,5.93727
2.0375,0.976503,0.0872342,5.94062
2.05,0.983452,0.0629432,5.94604
2.0625,0.990353,0.0359421,5.95329
2.075,0.997084,0.00652432,5.96215
2.0875,1.00353,6.25821,5.97238
2.1,1.00961,6.225,5.98372
2.1125,1.01523,6.19049,5.99593
2.125,1.02036,6.1551,6.00878
2.1375,1.02498,6.11929,6.02201
2.15,1.0291,6.08351,6.0354
2.1625,1.03278,6.04823,6.04869
2.175,1.03609,6.01391,6.06165
2.1875,1.03915,5.98099,6.07404
2.2,1.04208,5.94992,6.0856
2.2125,1.04505,5.92108,6.0961
2.225,1.04822,5.89487,6.1053
2.2375,1.05178,5.87161,6.11297
2.25,1.0559,5.85161,6.1189
2.2625,1.06073,5.83513,6.12293
2.275,1.06641,5.82238,6.12492
2.2875,1.07301,5.81355,6.12479
2.3,1.08059,5.80874,6.12251
2.3125,1.08915,5.80803,6.11812
2.325,1.09862,5.81144,6.11171
2.3375,1.10889,5.81894,6.10344
2.35,1.11983,5.83045,6.09351
2.3625,1.13127,5.84581,6.08216
2.375,1.14301,5.86483,6.06965
2.3875,1.15486,5.88725,6.05625
2.4,1.16665,5.91277,6.04223
2.4125,1.17821,5.94103,6.02786
2.425,1.1894,5.97162,6.01337
2.4375,1.20013,6.00411,5.999
2.45,1.21033,6.03802,5.98494
2.4625,1.21994,6.07286,5.97136
2.475,1.22896,6.10812,5.95843
2.4875,1.23741,6.14328,5.94629
2.50001,1.24533,6.17783,5.93506
2.51251,1.25278,6.21126,5.92485
2.52501,1.25984,6.24308,5.91577
2.53751,1.26658,6.27282,5.90792
2.55001,1.27311,0.016864,5.90137
2.56251,1.27951,0.0411865,5.89619
2.57501,1.28586,0.0622452,5.89245
2.58751,1.29225,0.0797322,5.89019
2.60001,1.29873,0.0933904,5.88943
2.61251,1.30535,0.103018,5.89018
2.62501,1.31213,0.10847,5.89241
