Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0,0,0,101.269,0,0,0,0,0
0.2,0.151337,0.1595,0.434796,101.269,0,0,19.6349,3.27088,-1.98313
0.4,0.285129,0.300522,0.614635,101.269,0,0,35.9038,14.3811,-6.45579
0.6,0.173635,0.535409,0.0954487,101.269,0,0,53.7055,21.3291,-12.214
0.8,0.401519,0.514946,0.32968,101.269,0,0,72.4558,24.8484,-19.0666
1,0.65084,0.30155,0.674006,101.269,0,0,87.746,36.2417,-25.3508
1.2,0.575604,0.489318,0.210752,101.269,0,0,104.061,47.2637,-29.3291
1.4,0.592864,0.394327,0.0367038,101.269,0,0,123.896,51.6353,-30.113
1.6,0.751414,-0.0719169,0.316723,101.269,0,0,140.939,61.5329,-26.8997
1.8,0.884988,-0.0120813,-0.00117549,101.269,0,0,155.145,74.0438,-19.4576
2,0.957838,0.145753,-0.348464,101.269,0,0,171.227,78.912,-8.2069
2.2,1.04442,-0.331356,-0.199022,101.269,0,0,185.03,83.741,5.81577
2.4,1.16961,-0.36881,-0.243749,101.269,0,0,195.166,91.5181,21.7387
2.6,1.30177,0.0980564,-0.395316,101.269,0,0,206.294,93.8455,38.494
2.8,1.40424,-0.190818,-0.249842,101.269,0,0,218.769,93.1141,54.6359
3,1.43306,-0.448798,-0.0450338,101.269,0,0,232.49,96.398,69.3654
3.2,1.51155,0.0683089,0.0929417,101.269,0,0,248.324,95.5491,81.8408
3.4,1.64165,0.0171733,0.285269,101.269,0,0,265.335,88.3349,90.6152
3.6,1.71085,-0.467795,0.423114,101.269,0,0,284.942,87.5572,95.3393
3.8,1.74201,-0.132511,0.63509,101.269,0,0,305.275,87.8968,96.9186
4,1.84751,0.0742531,0.755107,101.269,0,0,324.023,79.7773,95.8497
4.2,1.98697,-0.409055,0.584109,101.269,0,0,343.69,75.9174,93.2251
4.4,2.09709,-0.279906,0.581171,101.269,0,0,364.109,78.07,91.3115
4.6,2.18643,0.16318,0.700231,101.269,0,0,383.59,72.306,91.3475
4.8,2.26101,-0.0486228,0.307034,101.269,0,0,402.919,65.9204,93.5891
5,2.39353,-0.0402086,0.0518211,101.269,0,0,422.619,67.3264,99.4064
5.2,2.5587,0.429844,0.343381,101.269,0,0,440.103,63.4165,108.924
5.4,2.53723,0.464479,0.0818115,101.269,0,0,454.64,54.0899,120.352
5.6,2.49181,0.299116,-0.322754,101.269,0,0,470.384,49.8411,132.897
5.8,2.77095,0.532952,0.0865209,101.269,0,0,485.06,43.9041,145.96
6,2.94743,0.519033,0.218681,101.269,0,0,496.468,31.3683,157.848
6.2,2.84849,0.272952,-0.288139,101.269,0,0,511.963,21.9728,167.301
6.4,2.99943,0.148606,-0.0161228,101.269,0,0,530.441,14.8375,173.377
6.6,3.142,-0.017977,0.352472,101.269,0,0,544.787,0.230142,175.221
6.8,3.30293,-0.171495,-0.133151,101.269,0,0,560.216,-13.0688,172.727
7,3.41487,-0.329561,-0.214087,101.269,0,0,578.854,-19.5741,166.105
7.2,3.29846,-0.546077,0.298743,101.269,0,0,593.265,-30.4309,156.263
7.4,3.57265,-0.49231,-0.0288955,101.269,0,0,605.209,-42.4431,144.161
7.6,3.78856,-0.308427,-0.296685,101.269,0,0,620.732,-47.1163,131.22
7.8,3.68937,-0.505436,0.210475,101.269,0,0,636.563,-52.7164,119.046
8,3.74742,-0.351633,0.293033,101.269,0,0,651.52,-62.3342,108.019
8.2,3.89501,0.0990285,0.0401008,101.269,0,0,670.031,-64.4883,99.3137
8.4,4.02863,-0.0216525,0.413031,101.269,0,0,690.32,-64.234,94.5398
8.6,4.10215,-0.115774,0.709296,101.269,0,0,709.531,-72.2491,93.0627
8.8,4.18181,0.379933,0.538771,101.269,0,0,729.737,-76.4696,93.6711
9,4.32216,0.325071,0.624774,101.269,0,0,750.56,-74.5741,96.1379
9.2,4.44768,-0.107197,0.753964,101.269,0,0,770.124,-80.8565,98.8205
9.4,4.54377,0.251836,0.585563,101.269,0,0,789.662,-88.2866,99.5361
9.6,4.56966,0.42081,0.385773,101.269,0,0,810.531,-87.0669,97.4272
9.8,4.65618,-0.11094,0.249856,101.269,0,0,830.279,-90.1125,91.83
10,4.78455,0.038588,0.0585436,101.269,0,0,847.389,-97.5832,81.9872
10.2,4.84555,0.47268,-0.0858098,101.269,0,0,863.367,-97.0195,68.5436
10.4,4.88468,0.0721422,-0.296912,101.269,0,0,877.409,-94.6742,52.986
10.6,4.99298,-0.0451201,-0.389275,101.269,0,0,889.95,-96.0859,36.0227
10.8,5.13914,0.436969,-0.207851,101.269,0,0,901.179,-92.5194,18.6703
11,5.23524,0.220294,-0.24488,101.269,0,0,912.278,-84.7469,2.42142
11.2,5.32811,-0.175245,-0.324853,101.269,0,0,927.441,-81.051,-11.7131
11.4,5.40709,0.0787096,0.102132,101.269,0,0,944.105,-74.7477,-22.771
11.6,5.53603,-0.000766285,0.290432,101.269,0,0,958.996,-61.3706,-29.733
11.8,5.70785,-0.462563,0.00255144,101.269,0,0,978.009,-53.2051,-32.2308
12,5.65045,-0.438391,0.344433,101.269,0,0,998.613,-48.2993,-30.7593
12.2,5.63588,-0.304725,0.679696,101.269,0,0,1014.94,-35.741,-26.1045
12.4,5.94045,-0.549345,0.220355,101.269,0,0,1032.11,-25.6833,-19.3172
12.6,6.06213,-0.501154,0.19621,101.269,0,0,1052.14,-22.8643,-12.434
12.8,5.98554,-0.246371,0.668209,101.269,0,0,1070.42,-14.0191,-6.87466
13,6.14922,-0.136589,0.313271,101.269,0,0,1088.44,-3.42592,-2.80067
13.2,0.000359233,0.0361238,0.0239273,101.269,0,0,1109.59,-1.6843,-1.84685
13.4,0.170598,0.184723,0.542975,101.269,0,0,1129.76,3.50874,-4.85289
13.6,0.256526,0.359551,0.521765,101.269,0,0,1146.85,15.4255,-10.1087
13.8,0.145304,0.553709,0.0361973,101.269,0,0,1166.22,20.9409,-16.7215
14,0.458187,0.468269,0.444269,101.269,0,0,1185.58,25.821,-24.2839
14.2,0.639369,0.321638,0.627145,101.269,0,0,1201.18,38.9825,-30.801
14.4,0.521641,0.515536,0.0915913,101.269,0,0,1219.49,48.882,-34.6408
14.6,0.618483,0.305084,0.0996505,101.269,0,0,1240.53,53.5835,-34.9473
14.8,0.756025,-0.118003,0.312911,101.269,0,0,1257.51,65.6765,-30.8734
15,0.887021,0.0543878,-0.10576,101.269,0,0,1273.07,77.6883,-22.3496
15.2,0.963622,0.0775167,-0.344767,101.269,0,0,1290.22,81.7204,-9.95294
15.4,1.03643,-0.420614,-0.162892,101.269,0,0,1304.03,87.9483,5.19678
15.6,1.19085,-0.276089,-0.288071,101.269,0,0,1314.86,95.7776,22.1958
15.8,1.31074,0.105354,-0.390477,101.269,0,0,1327.17,96.8746,39.7807
16,1.3984,-0.309764,-0.202043,101.269,0,0,1340.87,96.8529,56.4588
16.2,1.42429,-0.382673,-0.0104236,101.269,0,0,1355.93,100.707,71.5272
16.4,1.51837,0.144432,0.126003,101.269,0,0,1373.12,97.9588,83.8817
16.6,1.64315,-0.0979224,0.315544,101.269,0,0,1391.83,90.8348,92.096
16.8,1.69615,-0.465403,0.467871,101.269,0,0,1412.95,91.7751,96.152
17,1.74506,-0.0153319,0.674896,101.269,0,0,1434.34,90.4903,97.0521
17.2,1.85468,0.00771767,0.737939,101.269,0,0,1454.13,81.5301,95.2801
17.4,2.00618,-0.455147,0.553071,101.269,0,0,1475.27,79.8231,92.3095
17.6,2.0912,-0.157882,0.625732,101.269,0,0,1496.91,81.4632,90.5398
17.8,2.18491,0.178049,0.659538,101.269,0,0,1517.27,74.0171,90.9041
18,2.27075,-0.104561,0.209631,101.269,0,0,1538.1,69.3386,93.861
18.2,2.39552,0.0473301,0.090906,101.269,0,0,1558.74,71.2796,100.869
18.4,2.56935,0.489306,0.359581,101.269,0,0,1576.49,65.3608,111.535
18.6,2.48224,0.409301,-0.0512566,101.269,0,0,1592.07,56.2839,123.946
18.8,2.49919,0.316714,-0.308836,101.269,0,0,1608.88,52.8264,137.536
19,2.82363,0.56227,0.184339,101.269,0,0,1623.63,45.0778,151.387
19.2,2.89125,0.479374,0.101018,101.269,0,0,1636,31.7156,163.68
19.4,2.84218,0.222486,-0.318249,101.269,0,0,1653.63,23.3556,173.202
19.6,3.01437,0.124763,0.107398,101.269,0,0,1672.82,14.6775,178.948
19.8,3.14217,-0.0539125,0.307368,101.269,0,0,1687.47,-1.61059,180.141
20,3.32026,-0.1989,-0.226487,101.269,0,0,1705.06,-13.7395,176.71
20.2,3.37643,-0.388714,-0.103161,101.269,0,0,1724.65,-20.4892,169.071
20.4,3.2818,-0.558031,0.334252,101.269,0,0,1738.87,-33.0671,158.217
20.6,3.62366,-0.443253,-0.137931,101.269,0,0,1752.42,-44.3993,145.2
20.8,3.76904,-0.339484,-0.229723,101.269,0,0,1769.49,-48.2213,131.71
21,3.64011,-0.518289,0.316997,101.269,0,0,1786.02,-55.4463,119.238
21.2,3.77096,-0.25472,0.223254,101.269,0,0,1802.61,-64.9264,108.104
21.4,3.90032,0.129604,0.060601,101.269,0,0,1822.93,-65.3155,99.8966
21.6,4.02655,-0.0831003,0.514312,101.269,0,0,1844.47,-66.6629,95.9554
21.8,4.10812,-0.0306755,0.691531,101.269,0,0,1864.71,-75.8394,95.1602
22,4.17524,0.453441,0.508244,101.269,0,0,1886.4,-78.201,96.51
22.2,4.34122,0.224982,0.668369,101.269,0,0,1908.4,-77.1298,99.6323
22.4,4.4568,-0.0912155,0.740468,101.269,0,0,1928.65,-85.5676,102.448
22.6,4.53405,0.363638,0.534764,101.269,0,0,1949.78,-91.6706,102.872
22.8,4.56283,0.336754,0.354313,101.269,0,0,1971.92,-90.0121,100.206
23,4.66389,-0.166621,0.215084,101.269,0,0,1992.22,-95.3348,93.5908
23.2,4.78323,0.159555,0.0276388,101.269,0,0,2010.2,-102.359,82.4655
23.4,4.82865,0.446905,-0.133532,101.269,0,0,2026.83,-100.417,67.8019
23.6,4.88825,-0.0353245,-0.333287,101.269,0,0,2041.51,-99.1424,51.0763
23.8,4.99815,0.0370789,-0.366194,101.269,0,0,2054.64,-100.629,32.9688
24,5.15303,0.463573,-0.185418,101.269,0,0,2066.34,-95.5131,14.748
24.2,5.23092,0.0952686,-0.287111,101.269,0,0,2079.01,-87.8973,-2.05108
24.4,5.32267,-0.17114,-0.268844,101.269,0,0,2095.89,-84.8384,-16.4433
24.6,5.4175,0.125712,0.192312,101.269,0,0,2113.25,-76.4746,-27.3271
24.8,5.53883,-0.0973817,0.241532,101.269,0,0,2129.61,-62.449,-33.7405
25,5.70827,-0.508726,0.00754037,101.269,0,0,2150.73,-55.8709,-35.4292
25.2,5.60031,-0.377788,0.472528,101.269,0,0,2172.04,-49.5333,-33.1127
25.4,5.649,-0.333768,0.646309,101.269,0,0,2188.87,-35.6022,-27.6037
25.6,5.98605,-0.570449,0.137114,101.269,0,0,2208.06,-27.2373,-20.2016
25.8,6.00361,-0.452582,0.322495,101.269,0,0,2229.38,-24.258,-13.1808
26,5.98516,-0.200931,0.673846,101.269,0,0,2248.27,-13.4954,-7.65121
26.2,6.16158,-0.111858,0.192258,101.269,0,0,2268.28,-4.15755,-3.93869
26.4,0.00167864,0.0726883,0.0886188,101.269,0,0,2290.92,-3.37123,-3.96621
26.6,0.185913,0.215313,0.618209,101.269,0,0,2311.49,4.116,-8.00607
26.8,0.209407,0.41704,0.396451,101.269,0,0,2329.82,16.1317,-14.0826
27,0.142311,0.560659,0.0266345,101.269,0,0,2350.69,20.3428,-21.6184
27.2,0.502819,0.41956,0.544178,101.269,0,0,2370.44,27.2358,-29.8467
27.4,0.611694,0.361655,0.541148,101.269,0,0,2386.76,41.6986,-36.5315
27.6,0.479576,0.514697,0.00145531,101.269,0,0,2407.19,50.192,-40.1668
27.8,0.637532,0.203016,0.172277,101.269,0,0,2429.19,56.0561,-39.8849
28,0.761488,-0.132889,0.275099,101.269,0,0,2446.21,70.1628,-34.8496
28.2,0.880945,0.106892,-0.201832,101.269,0,0,2463.39,81.1044,-25.1417
28.4,0.967948,-0.0226314,-0.314813,101.269,0,0,2481.44,84.8176,-11.5401
28.6,1.0318,-0.476563,-0.139742,101.269,0,0,2495.22,92.5609,4.80132
28.8,1.20558,-0.173153,-0.328886,101.269,0,0,2507.05,99.9245,22.9083
29,1.31804,0.0659301,-0.368151,101.269,0,0,2520.62,99.9028,41.2933
29.2,1.38358,-0.410333,-0.147517,101.269,0,0,2535.59,101.013,58.485
29.4,1.41827,-0.283696,0.0188873,101.269,0,0,2552.19,104.881,73.8301
