time,PN_m,PE_m,PD_m,P_m
0,0,0,0,0
0.1,3.076759,0.144474,-0.149744,3.083787
0.2,6.005903,0.987417,-0.549134,6.111253
0.3,8.578121,2.586582,-1.110866,9.028211
0.4,10.955134,4.401658,-1.87296,11.953976
0.5,13.479445,5.769805,-2.97853,14.961876
0.6,16.132185,6.351298,-4.427096,17.89373
0.7,18.748886,6.505809,-6.058476,20.749732
0.8,21.327155,6.997786,-7.670958,23.720458
0.9,23.792776,8.26482,-9.003883,26.748334
1,26.109175,10.044179,-10.000094,29.708187
1.1,28.511068,11.709677,-10.983474,32.720548
1.2,31.122712,12.701511,-12.268163,35.783508
1.3,33.799653,12.939508,-13.77825,38.7258
1.4,36.558391,12.939565,-15.160951,41.638957
1.5,39.49474,13.299124,-16.001814,44.640332
1.6,42.457454,14.131378,-16.094457,47.553788
1.7,45.392401,15.013602,-15.726009,50.330762
1.8,48.435604,15.39585,-15.46582,53.124679
1.9,51.480798,15.015485,-15.67575,55.870086
2,54.387652,14.098019,-16.160282,58.463027
2.1,57.296948,13.094902,-16.331696,61.001156
2.2,60.219184,12.353316,-15.725688,63.452753
2.3,62.992955,11.878178,-14.462323,65.714247
2.4,65.729552,11.340906,-13.141534,67.983013
2.5,68.584291,10.46552,-12.402564,70.478051
2.6,71.448437,9.328115,-12.430438,73.119141
2.7,74.304865,8.192397,-12.723887,75.830242
2.8,77.237867,7.277607,-12.537964,78.58659
2.9,80.101071,6.714017,-11.558998,81.208805
3,82.852322,6.469407,-10.179857,83.725683
3.1,85.74521,6.439862,-9.121666,86.469172
3.2,88.807871,6.606905,-8.898673,89.49679
3.3,91.832934,7.025997,-9.338551,92.573544
3.4,94.811392,7.74114,-9.695756,95.619732
3.5,97.708659,8.690168,-9.295633,98.5338
3.6,100.351531,9.758665,-8.122382,101.151542
3.7,102.829434,11.015597,-6.777561,103.639622
3.8,105.317795,12.630567,-5.960696,106.239819
3.9,107.717319,14.561397,-5.936545,108.859072
4,109.985,16.633513,-6.256855,111.411499
4.1,112.293485,18.670957,-6.167945,114.002083
4.2,114.668961,20.418665,-5.288027,116.592692
4.3,117.048137,21.84595,-3.932635,119.134284
4.4,119.499742,23.314426,-2.7741,121.784426
4.5,121.968585,25.09999,-2.352713,124.5467
4.6,124.329133,27.062686,-2.654628,127.2681
4.7,126.783592,28.869223,-3.139763,130.066788
4.8,129.577353,30.150488,-3.259179,133.078791
4.9,132.588021,30.718746,-2.933697,136.131668
5,135.654376,30.881597,-2.610546,139.149552
5.1,138.706567,31.204132,-2.845695,142.201644
5.2,141.522295,31.965076,-3.828972,145.137821
5.3,144.082009,32.906725,-5.276884,147.886184
5.4,146.718359,33.480185,-6.766669,150.641918
5.5,149.54073,33.280102,-7.974944,153.406632
5.6,152.36528,32.460551,-8.912492,156.039413
5.7,155.156978,31.647832,-9.946415,158.663809
5.8,157.890476,31.462574,-11.346559,161.394053
5.9,160.447497,32.001043,-12.984617,164.122108
6,162.978964,32.727912,-14.597538,166.872247
6.1,165.718226,32.943736,-15.984865,169.715456
6.2,168.57178,32.386531,-17.001795,172.494618
6.3,171.446486,31.496508,-17.69674,175.211593
6.4,174.446158,31.028145,-18.217886,178.118217
6.5,177.475553,31.433767,-18.573429,181.192234
6.6,180.394271,32.435519,-18.668934,184.235406
6.7,183.353938,33.277402,-18.464989,187.26187
6.8,186.397328,33.327888,-18.02168,190.209077
6.9,189.336851,32.615988,-17.414494,192.91322
7,192.19204,31.792471,-16.578126,195.507994
7.1,195.019601,31.558969,-15.386708,198.154899
7.2,197.660127,32.084597,-13.886362,200.72812
7.3,200.15854,32.86056,-12.243323,203.207176
7.4,202.784301,33.176062,-10.664402,205.756782
7.5,205.552483,32.712888,-9.397485,208.351312
7.6,208.348101,31.831505,-8.422277,210.933901
7.7,211.186571,31.227786,-7.380272,213.610418
7.8,213.944994,31.390153,-6.026383,216.319485
7.9,216.505589,32.214847,-4.512837,218.935681
8,219.135736,33.171154,-3.212314,221.655397
8.1,222.072842,33.771787,-2.521216,224.64024
8.2,225.149819,33.967418,-2.556805,227.712019
8.3,228.202959,34.22016,-2.947085,230.773255
8.4,231.156991,35.066666,-3.129374,233.822622
8.5,233.806705,36.610367,-2.841253,236.672701
8.6,236.179873,38.534555,-2.384702,239.314712
8.7,238.583369,40.463321,-2.364598,242.00185
8.8,241.071192,42.097726,-3.148509,244.739558
8.9,243.492031,43.467827,-4.490843,247.382273
9,245.874074,44.971001,-5.7511,250.019052
9.1,248.237439,46.85144,-6.342838,252.699654
9.2,250.511622,48.934197,-6.221631,255.322026
9.3,252.818289,50.974878,-5.98781,257.97554
9.4,255.277348,52.791165,-6.348535,260.756084
9.5,257.763928,54.225825,-7.470508,263.511842
9.6,260.286382,55.353701,-8.852357,266.254385
9.7,263.04853,56.36017,-9.772093,269.19601
9.8,266.001654,57.229694,-9.825154,272.265773
9.9,268.99045,57.836172,-9.334226,275.296228
10,272.048197,58.15112,-9.088413,278.342187
10.1,275.070122,58.221466,-9.665045,281.330276
10.2,277.884466,58.085312,-10.926264,284.100446
10.3,280.667253,57.695873,-12.20524,286.795901
10.4,283.588569,56.968938,-12.846146,289.53922
10.5,286.495547,55.944712,-12.727516,292.184016
10.6,289.341884,54.784026,-12.413126,294.744128
10.7,292.223089,53.717995,-12.636509,297.388026
10.8,295.037131,52.968936,-13.644335,300.064634
10.9,297.766853,52.472882,-15.006178,302.727084
11,300.615008,51.892757,-16.03481,305.48217
11.1,303.556304,51.01476,-16.27082,308.242883
11.2,306.445057,50.001343,-15.862228,310.902425
11.3,309.405194,49.260295,-15.402267,313.68038
11.4,312.481736,49.188894,-15.380011,316.703216
11.5,315.478506,49.822329,-15.753641,319.776687
11.6,318.414175,50.748688,-16.007445,322.830071
11.7,321.392208,51.426101,-15.619673,325.855135
11.8,324.259705,51.615148,-14.505243,328.662261
11.9,326.96358,51.662238,-13.010091,331.275462
12,329.627108,52.204013,-11.558048,333.935439
12.1,332.161429,53.541991,-10.429738,336.610664
12.2,334.49404,55.354635,-9.522636,339.177062
12.3,336.854571,57.019161,-8.437214,341.750454
12.4,339.379552,57.998816,-6.973208,344.370394
