Time,Value_1,Value_2,Value_3
0,0.523599,1,0
0.0125,0.528143,0.997349,0.363832
0.025,0.541603,0.98938,0.722801
0.0375,0.563473,0.97606,1.0721
0.05,0.592923,0.957359,1.40701
0.0625,0.62883,0.933294,1.72299
0.075,0.669812,0.903975,2.01569
0.0875,0.714279,0.869658,2.28103
0.1,0.760496,0.830793,2.51527
0.1125,0.806655,0.788066,2.71504
0.125,0.850951,0.742422,2.87742
0.1375,0.891666,0.695068,3.00002
0.15,0.927244,0.647452,3.081
0.1625,0.956358,0.601221,3.11918
0.175,0.977961,0.558153,3.114
0.1875,0.99131,0.520081,3.06561
0.2,0.995966,0.488794,2.97483
0.2125,0.991775,0.465951,2.84317
0.225,0.978819,0.452986,2.67276
0.2375,0.957353,0.451032,2.46631
0.25,0.927735,0.460858,2.22706
0.2625,0.890358,0.482825,1.95865
0.275,0.845585,0.516859,1.66511
0.2875,0.793707,0.562443,1.35071
0.3,0.734916,0.618627,1.01991
0.3125,0.669306,0.684045,0.677262
0.325,0.5969,0.756957,0.327352
0.3375,0.517692,0.83529,-0.0252865
0.35,0.431714,0.916698,-0.376213
0.3625,0.339115,0.998629,-0.721127
0.375,0.240241,1.07841,-1.05589
0.3875,0.13572,1.15334,-1.37656
0.4,0.0265365,1.22078,-1.67933
0.4125,-0.0859122,1.27829,-1.96059
0.425,-0.199775,1.3237,-2.21683
0.4375,-0.312741,1.35529,-2.44469
0.45,-0.422061,1.3718,-2.64088
0.4625,-0.524612,1.37257,-2.80224
0.475,-0.61699,1.35758,-2.92574
0.4875,-0.695652,1.32744,-3.00858
0.5,-0.757079,1.28339,-3.04826
0.5125,-0.797961,1.22717,-3.04275
0.525,-0.815388,1.16094,-2.99058
0.5375,-0.807029,1.08708,-2.89104
0.55,-0.771277,1.00802,-2.74427
0.5625,-0.707353,0.926041,-2.55134
0.575,-0.615356,0.843055,-2.31435
0.5875,-0.496258,0.760478,-2.03635
0.6,-0.35186,0.6791,-1.72134
0.6125,-0.18472,0.59903,-1.37417
0.625,0.00193769,0.519706,-1.00044
0.6375,0.204301,0.43997,-0.606406
0.65,0.418047,0.358199,-0.198862
0.6625,0.638405,0.272492,0.214945
0.675,0.860224,0.180893,0.627425
0.6875,1.07805,0.0816351,1.03076
0.7,1.28626,-0.0266079,1.41704
0.7125,1.47923,-0.144495,1.77852
0.725,1.65154,-0.271831,2.1078
0.7375,1.79834,-0.407443,2.39819
0.75,1.91559,-0.549151,2.64399
0.7625,2.0004,-0.69382,2.84079
0.775,2.05124,-0.837525,2.98572
0.7875,2.06813,-0.975782,3.07752
0.8,2.05252,-1.10384,3.11657
0.8125,2.00725,-1.21701,3.1047
0.825,1.93618,-1.31094,3.04493
0.837499,1.84392,-1.38189,2.94114
0.849999,1.73539,-1.42691,2.79772
0.862499,1.61549,-1.44397,2.61927
0.874999,1.48879,-1.432,2.41037
0.887499,1.35933,-1.39088,2.17536
0.899999,1.23041,-1.32134,1.91834
0.912499,1.10456,-1.22492,1.64307
0.924999,0.983515,-1.10384,1.35307
0.937499,0.868232,-0.96085,1.0516
0.949999,0.758966,-0.799176,0.741797
0.962499,0.655374,-0.62237,0.426675
0.974999,0.556632,-0.434242,0.109185
0.987499,0.461574,-0.238779,-0.207768
0.999999,0.368836,-0.0400699,-0.521326
1.0125,0.277007,0.15775,-0.828687
1.025,0.184777,0.350568,-1.12713
1.0375,0.0910738,0.534352,-1.414
1.05,-0.00480813,0.705225,-1.68675
1.0625,-0.103105,0.859545,-1.9429
1.075,-0.2035,0.993989,-2.18004
1.0875,-0.30507,1.10565,-2.39575
1.1,-0.406262,1.19211,-2.58759
1.1125,-0.504906,1.25158,-2.75302
1.125,-0.598265,1.28291,-2.88943
1.1375,-0.683136,1.2857,-2.99411
1.15,-0.755984,1.26029,-3.06433
1.1625,-0.813143,1.20777,-3.09743
1.175,-0.851039,1.1299,-3.09102
1.1875,-0.86646,1.02903,-3.04314
1.2,-0.856827,0.907932,-2.95254
1.2125,-0.820448,0.769639,-2.81892
1.225,-0.756738,0.61723,-2.6431
1.2375,-0.666347,0.453645,-2.42717
1.25,-0.551217,0.281522,-2.17457
1.2625,-0.414523,0.103077,-1.89
1.275,-0.260527,-0.0799531,-1.57934
1.2875,-0.0943576,-0.266288,-1.24938
1.3,0.0782766,-0.455026,-0.907543
1.3125,0.251397,-0.645504,-0.561605
1.325,0.419076,-0.837124,-0.219327
1.3375,0.575751,-1.02917,0.111848
1.35,0.716504,-1.22066,0.425098
1.3625,0.837301,-1.4102,0.714465
1.375,0.935176,-1.59589,0.975045
1.3875,1.00834,-1.77539,1.2031
1.4,1.05622,-1.94591,1.39609
1.4125,1.0794,-2.10432,1.55262
1.425,1.07953,-2.24737,1.67231
1.4375,1.05916,-2.37178,1.75564
1.45,1.0215,-2.47447,1.8037
1.4625,0.970266,-2.55269,1.81801
1.475,0.909402,-2.60418,1.80032
1.4875,0.842928,-2.62724,1.75243
1.5,0.774754,-2.62083,1.67608
1.5125,0.708539,-2.58455,1.57294
1.525,0.647567,-2.51863,1.44455
1.5375,0.59465,-2.4239,1.29241
1.55,0.552039,-2.30173,1.11803
1.5625,0.521353,-2.15392,0.923047
1.575,0.50352,-1.98265,0.709342
1.5875,0.498737,-1.79036,0.479127
1.6,0.506458,-1.57969,0.235037
1.6125,0.525408,-1.35344,-0.0198335
1.625,0.553645,-1.1145,-0.281931
1.6375,0.588662,-0.865882,-0.547301
1.65,0.62753,-0.610674,-0.811693
1.6625,0.667084,-0.352089,-1.07071
1.675,0.704129,-0.0934694,-1.31999
1.6875,0.735659,0.161695,-1.55539
1.7,0.759059,0.409778,-1.77317
1.7125,0.772288,0.647043,-1.97016
1.725,0.773999,0.869702,-2.14381
1.7375,0.763616,1.074,-2.29228
1.75,0.741346,1.2563,-2.41438
1.7625,0.708129,1.41323,-2.50955
1.775,0.665553,1.54178,-2.5777
1.7875,0.615725,1.63942,-2.6191
1.8,0.561135,1.70415,-2.63427
1.8125,0.5045,1.73465,-2.62386
1.825,0.448616,1.73023,-2.58856
1.8375,0.396214,1.69092,-2.52908
1.85,0.34982,1.61739,-2.44616
1.8625,0.311627,1.51094,-2.34061
1.875,0.283376,1.37345,-2.21339
1.8875,0.266254,1.20725,-2.06572
1.9,0.260809,1.01511,-1.89914
1.9125,0.266905,0.80007,-1.71562
1.925,0.283706,0.56544,-1.51761
1.9375,0.309712,0.314677,-1.30804
1.95,0.34285,0.0513629,-1.09026
1.9625,0.380606,-0.220837,-0.867953
1.975,0.420198,-0.49819,-0.644981
1.9875,0.458776,-0.776906,-0.425221
2,0.493626,-1.05314,-0.21238
2.0125,0.522357,-1.32299,-0.00982815
2.025,0.543052,-1.58256,0.179531
2.0375,0.554384,-1.82794,0.353348
2.05,0.55567,-2.05531,0.509857
2.0625,0.546879,-2.26096,0.647853
2.075,0.5286,-2.44141,0.766625
2.0875,0.501976,-2.59351,0.865853
2.1,0.468618,-2.71445,0.945488
2.1125,0.430513,-2.80192,1.00564
2.125,0.389932,-2.85413,1.04645
2.1375,0.349334,-2.86987,1.06803
2.15,0.311282,-2.84853,1.0704
2.1625,0.278346,-2.79013,1.05349
2.175,0.253004,-2.6953,1.01714
2.1875,0.237528,-2.56524,0.961215
2.2,0.233855,-2.40167,0.885704
2.2125,0.24344,-2.20683,0.79087
2.225,0.267105,-1.98331,0.67742
2.2375,0.304902,-1.73406,0.546666
2.25,0.356002,-1.46231,0.400657
2.2625,0.418653,-1.17149,0.242249
2.275,0.490207,-0.865189,0.0750942
2.2875,0.567262,-0.547172,-0.0964807
2.3,0.645891,-0.22134,-0.267687
2.3125,0.72195,0.108253,-0.433576
2.325,0.791439,0.437406,-0.589385
2.3375,0.850845,0.761776,-0.730877
2.35,0.897435,1.07691,-0.854622
2.3625,0.929452,1.3783,-0.958187
2.375,0.946188,1.66148,-1.0402
2.3875,0.947948,1.92209,-1.1003
2.4,0.93591,2.15603,-1.13898
2.4125,0.911932,2.35952,-1.1574
2.425,0.878324,2.52924,-1.15715
2.4375,0.837639,2.66241,-1.14001
2.45,0.79248,2.75683,-1.10778
2.4625,0.745359,2.81094,-1.06217
2.475,0.698586,2.82384,-1.00467
2.4875,0.654201,2.7953,-0.936567
2.50001,0.613923,2.72575,-0.858923
2.51251,0.579124,2.61622,-0.77264
2.52501,0.550806,2.46839,-0.678521
2.53751,0.529584,2.28447,-0.577343
2.55001,0.515674,2.06717,-0.469945
2.56251,0.508887,1.81968,-0.357295
2.57501,0.508636,1.5456,-0.240545
2.58751,0.513957,1.24887,-0.121054
2.60001,0.523563,0.933747,-0.000380933
2.61251,0.535914,0.60472,0.119758
2.62501,0.549317,0.26649,0.237564
2.63751,0.562041,-0.0761026,0.351259
2.65001,0.572442,-0.418128,0.459189
2.66251,0.579071,-0.754629,0.559934
2.67501,0.580771,-1.08069,0.652389
2.68751,0.576736,-1.39149,0.735821
2.70001,0.566538,-1.68241,0.809883
2.71251,0.550112,-1.94906,0.874593
2.72501,0.527725,-2.18742,0.930281
2.73751,0.499913,-2.39383,0.977516
2.75001,0.467422,-2.56512,1.01702
2.76251,0.431142,-2.69863,1.04958
2.77501,0.392053,-2.79227,1.07598
2.78751,0.351185,-2.84454,1.0969
2.80001,0.309592,-2.85457,1.1129
2.81251,0.268333,-2.82213,1.12438
2.82501,0.228463,-2.74762,1.13154
2.83751,0.191022,-2.63207,1.1344
2.85001,0.157029,-2.47712,1.13284
2.86251,0.127452,-2.28501,1.12659
2.87501,0.103177,-2.0585,1.11533
2.88751,0.0849578,-1.80088,1.09879
2.90001,0.0733579,-1.51588,1.07675
2.91251,0.0686893,-1.20762,1.04922
2.92501,0.0709619,-0.880543,1.01646
2.93751,0.0798527,-0.539352,0.979037
2.95001,0.0947091,-0.188938,0.937861
2.96251,0.114594,0.165696,0.894123
2.97501,0.138362,0.519499,0.849247
2.98751,0.164772,0.867447,0.804775
3.00001,0.192603,1.2046,0.762259
3.01251,0.220763,1.52618,0.723143
3.02501,0.248382,1.82762,0.688678
3.03751,0.27486,2.10462,0.659859
3.05001,0.299885,2.35323,0.637401
3.06251,0.323414,2.56987,0.621746
3.07501,0.345635,2.75142,0.613087
3.08751,0.366901,2.89521,0.611404
3.10001,0.387675,2.99912,0.616506
3.11251,0.408453,3.06156,0.628059
3.12501,0.429712,3.08156,0.645614
3.13751,0.451849,3.05868,0.668612
3.15001,0.475134,2.99314,0.696389
3.16251,0.499673,2.88572,0.728164
3.17501,0.525372,2.73781,0.76303
3.18751,0.551928,2.55139,0.799947
3.20001,0.578815,2.32898,0.837739
3.21251,0.605309,2.07361,0.875109
3.22501,0.630517,1.78883,0.910675
3.23751,0.653438,1.4786,0.943024
3.25001,0.673041,1.14731,0.970788
3.26251,0.688358,0.799631,0.992732
3.27501,0.698575,0.440532,1.00785
3.28751,0.703119,0.0751484,1.01545
3.30001,0.701724,-0.291276,1.0152
3.31251,0.694455,-0.65348,1.00719
3.32501,0.681699,-1.00627,0.991902
3.33751,0.664127,-1.3446,0.970149
3.35001,0.642612,-1.66365,0.943034
3.36251,0.618143,-1.95892,0.911841
3.37501,0.591732,-2.22625,0.877947
3.38751,0.564327,-2.46193,0.842738
3.40001,0.536745,-2.66269,0.807543
3.41251,0.509626,-2.82581,0.773586
3.42501,0.483405,-2.9491,0.741964
3.43751,0.458309,-3.03092,0.713634
3.45001,0.434366,-3.07025,0.689421
3.46251,0.411434,-3.06667,0.670024
3.47501,0.38923,-3.02033,0.656024
3.48751,0.367374,-2.93203,0.64789
3.50001,0.345445,-2.8031,0.645971
3.51251,0.323029,-2.63548,0.650487
3.52501,0.29979,-2.43162,0.661494
3.53751,0.275519,-2.19449,0.678866
3.55001,0.250202,-1.92749,0.70225
3.56251,0.224054,-1.63446,0.731049
3.57501,0.197549,-1.31958,0.764412
3.58751,0.171413,-0.987332,0.80125
3.60001,0.146581,-0.642443,0.840279
3.61251,0.124133,-0.289813,0.8801
3.62501,0.105195,0.0655383,0.919295
3.63751,0.0908311,0.418548,0.956531
3.65001,0.0819414,0.764172,0.990662
3.66251,0.0791827,1.09746,1.0208
3.67501,0.0829196,1.41362,1.04634
3.68751,0.09321,1.7081,1.067
3.70001,0.109828,1.97665,1.08272
3.71251,0.132302,2.21539,1.09366
3.72501,0.159974,2.42086,1.10006
3.73751,0.192051,2.5901,1.10223
3.75001,0.227652,2.72067,1.10041
3.76251,0.265841,2.8107,1.09475
3.77501,0.305654,2.85894,1.08524
3.78751,0.346104,2.86473,1.07172
3.80001,0.386195,2.82807,1.05381
3.81251,0.424923,2.7496,1.031
3.82501,0.461288,2.63056,1.00261
3.83751,0.494322,2.47282,0.967868
3.85001,0.523118,2.27882,0.925959
3.86251,0.546882,2.05155,0.876102
3.87501,0.56499,1.79447,0.817634
3.88751,0.577059,1.51148,0.750094
3.90001,0.583003,1.20684,0.673303
3.91251,0.583081,0.885085,0.587429
3.92501,0.577926,0.550985,0.493015
3.93751,0.568532,0.209431,0.390989
3.95001,0.556209,-0.134615,0.282618
3.96251,0.542506,-0.476192,0.169437
3.97501,0.529105,-0.810405,0.0531556
3.98751,0.517702,-1.13248,-0.0644534
4.00001,0.509892,-1.43782,-0.181657
4.01251,0.507057,-1.72208,-0.296852
4.02501,0.510288,-1.98116,-0.408618
4.03751,0.520326,-2.21133,-0.51574
4.05001,0.537527,-2.40924,-0.617199
4.06251,0.56185,-2.57198,-0.712128
4.07501,0.59286,-2.69712,-0.799751
4.08751,0.629738,-2.78279,-0.879306
4.10001,0.671298,-2.82769,-0.949963
4.11251,0.716001,-2.83114,-1.01076
4.12501,0.761986,-2.79312,-1.06053
4.13751,0.807104,-2.71425,-1.09792
4.15001,0.848979,-2.59582,-1.12133
4.16251,0.885093,-2.43977,-1.12904
4.17501,0.912916,-2.24865,-1.11927
