Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.756687,0.797498,2.17398,0,0,0,98.1743,16.3544,-9.91566
0.2,0.668958,0.705111,0.899196,0,0,0,81.3445,55.5511,-22.3633
0.4,-0.557469,1.17444,-2.59593,0,0,0,89.0087,34.7399,-28.7909
0.6,1.13942,-0.102319,1.17116,0,0,0,93.7515,17.5968,-34.2633
0.8,1.2466,-1.06698,1.72163,0,0,0,76.4507,56.9665,-31.4208
1,-0.376182,0.938838,-2.31627,0,0,0,81.5762,55.1099,-19.8915
1.2,0.0862998,-0.474956,-0.870242,0,0,0,99.1724,21.858,-3.91965
1.4,0.792753,-2.33122,1.4001,0,0,0,85.2174,49.4881,16.0667
1.6,0.667872,0.299178,-1.58949,0,0,0,71.0274,62.5542,37.2105
1.8,0.36425,0.789169,-1.73644,0,0,0,80.4099,24.3413,56.2534
2,0.43293,-2.38554,0.747206,0,0,0,69.018,24.1449,70.1133
2.2,0.625935,-0.187272,-0.223631,0,0,0,50.6793,38.8855,79.6144
2.4,0.6608,2.33433,-0.757836,0,0,0,55.6404,11.6371,83.7766
2.6,0.51233,-1.44437,0.727372,0,0,0,62.3728,-3.65725,80.7097
2.8,0.144112,-1.2899,1.02404,0,0,0,68.606,16.4196,73.6473
3,0.392441,2.58553,0.689878,0,0,0,79.1723,-4.24439,62.3771
3.2,0.650504,-0.255678,0.961634,0,0,0,85.0555,-36.0712,43.8722
3.4,0.345985,-2.42484,0.689229,0,0,0,98.0346,-3.88841,23.6205
3.6,0.155834,1.67642,1.05988,0,0,0,101.663,1.69794,7.89632
3.8,0.527481,1.03382,0.600082,0,0,0,93.7408,-40.5973,-5.3446
4,0.697284,-2.41654,-0.854987,0,0,0,98.3367,-19.2997,-13.1228
4.2,0.550611,0.645744,-0.0146887,0,0,0,102.093,10.763,-9.56809
4.4,0.446734,2.21543,0.595296,0,0,0,97.4055,-28.8201,0.180366
4.6,0.372879,-1.05902,-1.96598,0,0,0,96.6461,-31.928,11.2079
4.8,0.662592,0.0420708,-1.27606,0,0,0,98.4976,7.03015,29.0863
5,0.825841,2.35026,1.4578,0,0,0,87.4231,-19.5496,47.5862
5.2,-0.10735,0.173176,-1.30785,0,0,0,72.6832,-46.6331,57.1428
5.4,-0.227106,-0.826817,-2.02283,0,0,0,78.7206,-21.244,62.7259
5.6,1.39571,1.16918,2.04637,0,0,0,73.381,-29.6849,65.3141
5.8,0.882413,-0.0695985,0.660801,0,0,0,57.0358,-62.6792,59.4367
6,-0.494716,-1.2304,-2.5341,0,0,0,77.4761,-46.9775,47.2682
6.2,0.754691,-0.62173,1.36008,0,0,0,92.3915,-35.6765,30.3776
