time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
0,0,0,0,0
0.025,30.863225,0.093573,-0.38513,30.865769
0.05,30.836852,0.648272,-1.146952,30.864984
0.075,30.757718,1.725284,-1.883413,30.863588
0.1,30.580795,3.259785,-2.577851,30.861894
0.125,30.25619,5.155885,-3.215115,30.860285
0.15,29.745618,7.291493,-3.783883,30.859122
0.175,29.037261,9.527867,-4.279575,30.858671
0.2,28.154812,11.723101,-4.706971,30.859036
0.225,27.157928,13.746758,-5.081532,30.860142
0.25,26.133887,15.491797,-5.428772,30.861746
0.275,25.182759,16.880688,-5.781551,30.863495
0.3,24.399972,17.864774,-6.175737,30.865005
0.325,23.860244,18.418452,-6.64499,30.865945
0.35,23.60577,18.531626,-7.215494,30.866113
0.375,23.640144,18.204109,-7.901381,30.865479
0.4,23.928418,17.444544,-8.701563,30.864194
0.425,24.403101,16.274259,-9.598659,30.862552
0.45,24.975461,14.734214,-10.560596,30.860928
0.475,25.550703,12.891628,-11.545053,30.859695
0.5,26.044543,10.842648,-12.5062,30.859136
0.525,26.397726,8.708701,-13.402247,30.859385
0.55,26.584968,6.626566,-14.201831,30.860394
0.575,26.615995,4.734567,-14.887321,30.861945
0.6,26.528546,3.15856,-15.454046,30.863697
0.625,26.375492,2.000939,-15.905794,30.865265
0.65,26.209688,1.334166,-16.248109,30.866305
0.675,26.070393,1.198254,-16.481662,30.86659
0.7,25.974269,1.600444,-16.597884,30.866062
0.725,25.912653,2.515419,-16.578469,30.864844
0.75,25.855436,3.885579,-16.399282,30.86321
0.775,25.760557,5.622421,-16.037958,30.86153
0.8,25.586967,7.610848,-15.483308,30.86018
0.825,25.30793,9.717793,-14.743807,30.859466
0.85,24.921188,11.804872,-13.852476,30.859548
0.875,24.453151,13.742751,-12.866427,30.860408
0.9,23.955862,15.423602,-11.860987,30.861851
0.925,23.497567,16.768336,-10.919992,30.863554
0.95,23.149402,17.72713,-10.124744,30.865133
0.975,22.971423,18.274276,-9.544042,30.866231
1,23.000873,18.400399,-9.226708,30.8666
1.025,23.244709,18.105751,-9.196994,30.866153
1.05,23.677474,17.397494,-9.452603,30.864985
1.075,24.244922,16.291982,-9.965013,30.863351
1.1,24.873145,14.820822,-10.682171,30.861609
1.125,25.482094,13.037748,-11.533793,30.860142
1.15,26.001192,11.02268,-12.43918,30.859272
1.175,26.383671,8.880223,-13.316641,30.859187
1.2,26.616011,6.731881,-14.092656,30.859897
1.225,26.719819,4.703714,-14.708574,30.861235
1.25,26.745524,2.912799,-15.123187,30.862894
1.275,26.759574,1.455967,-15.310857,30.864494
1.3,26.828465,0.402909,-15.256494,30.865668
1.325,27.003359,-0.206269,-14.949753,30.866148
1.35,27.308505,-0.360513,-14.381037,30.865817
1.375,27.735596,-0.07627,-13.541167,30.864742
1.4,28.245081,0.60393,-12.425179,30.863156
1.425,28.774336,1.61285,-11.039142,30.861405
1.45,29.251391,2.861137,-9.407547,30.859875
1.475,29.611516,4.242534,-7.578317,30.858903
1.5,29.812836,5.642265,-5.623078,30.8587
1.525,29.846885,6.947638,-3.631891,30.859308
1.55,29.741098,8.058548,-1.703701,30.860585
1.575,29.55246,8.895278,0.064745,30.862243
1.6,29.354079,9.401891,1.588474,30.863907
1.625,29.218266,9.545251,2.800327,30.865202
1.65,29.20022,9.311344,3.653221,30.865839
1.675,29.325797,8.701363,4.119927,30.865675
1.7,29.585631,7.729649,4.192317,30.864746
1.725,29.936652,6.424264,3.881569,30.863261
1.75,30.310843,4.829347,3.219579,30.861553
1.775,30.629838,3.007184,2.260503,30.860007
1.8,30.822587,1.037608,1.080575,30.858971
1.825,30.84208,-0.986746,-0.225328,30.858683
1.85,30.676873,-2.969093,-1.550764,30.859211
1.875,30.354168,-4.819017,-2.787195,30.860442
1.9,29.933552,-6.461867,-3.833579,30.862106
1.925,29.493167,-7.844394,-4.603803,30.863837
1.95,29.112051,-8.93552,-5.030793,30.865254
1.975,28.852984,-9.723001,-5.067695,30.866049
2,28.749473,-10.20814,-4.687728,30.866051
2.025,28.799189,-10.401055,-3.884525,30.865268
2.05,28.964834,-10.318321,-2.673926,30.863883
2.075,29.182228,-9.983531,-1.096753,30.862213
2.1,29.374294,-9.42988,0.779278,30.86064
2.125,29.468363,-8.70296,2.860813,30.859524
2.15,29.413073,-7.861732,5.034863,30.859124
2.175,29.190733,-6.976382,7.179288,30.859536
2.2,28.821869,-6.122995,9.175526,30.860678
2.225,28.360694,-5.376215,10.920113,30.8623
2.25,27.882888,-4.801719,12.331963,30.864045
2.275,27.469016,-4.450089,13.354058,30.865531
2.3,27.187696,-4.352897,13.950558,30.866431
2.325,27.08207,-4.520874,14.102024,30.86655
2.35,27.161915,-4.943614,13.801912,30.865867
2.375,27.402452,-5.59039,13.056527,30.864538
2.4,27.749909,-6.412176,11.888773,30.862864
2.425,28.132939,-7.3454,10.343976,30.861221
2.45,28.477908,-8.317887,8.494697,30.85998
2.475,28.724977,-9.256791,6.441374,30.85942
2.5,28.841185,-10.097256,4.307033,30.859667
2.525,28.82711,-10.789847,2.226574,30.860666
2.55,28.715257,-11.304768,0.333314,30.862192
2.575,28.560645,-11.631779,-1.253657,30.863901
2.6,28.426225,-11.77613,-2.438427,30.865408
2.625,28.366921,-11.752102,-3.152607,30.866374
2.65,28.41602,-11.576352,-3.356129,30.866579
2.675,28.57675,-11.263044,-3.036691,30.865973
2.7,28.820664,-10.821975,-2.209752,30.864685
2.725,29.093217,-10.259808,-0.919604,30.862998
2.75,29.32571,-9.583547,0.759644,30.861281
2.775,29.451383,-8.804685,2.725404,30.859913
2.8,29.422184,-7.942317,4.85226,30.859192
2.825,29.222028,-7.023862,7.002369,30.859273
2.85,28.872875,-6.082953,9.038934,30.860129
2.875,28.431826,-5.155072,10.839393,30.86156
2.9,27.979952,-4.272271,12.304856,30.863239
2.925,27.605837,-3.458546,13.363789,30.86478
2.95,27.387844,-2.727006,13.970289,30.865831
2.975,27.378871,-2.079275,14.099404,30.86615
3,27.596245,-1.506859,13.742832,30.865657
3.025,28.018202,-0.993821,12.907644,30.864455
3.05,28.58746,-0.520011,11.618928,30.862805
3.075,29.221499,-0.064203,9.924992,30.861069
3.1,29.828139,0.393296,7.902157,30.859628
3.125,30.323637,0.868871,5.655761,30.8588
3.15,30.649355,1.374743,3.315183,30.858764
3.175,30.782806,1.918978,1.023031,30.859524
